EntryID,SignFrequency(M),SignType,SelectedFingers,Flexion,MajorLocation,Movement
die,4.346,SymmetricalOrAlternating,imrp,1,Neutral,Curved
camping,4.355,SymmetricalOrAlternating,ip,1,Neutral,BackAndForth
grandfather,4.36,OneHanded,imrp,1,Head,Other
bug,4.36,OneHanded,im,1,Head,None
invite,4.367,OneHanded,imrp,1,Neutral,Curved
birth,4.367,AsymmetricalSameHandshape,imrp,1,Hand,Curved
blanket,4.375,SymmetricalOrAlternating,imrp,1,Body,BackAndForth
scared,4.4,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
high,4.4,OneHanded,im,1,Neutral,Curved
mean_1,4.4,SymmetricalOrAlternating,imrp,5,Neutral,Straight
alarm,4.4,AsymmetricalDifferentHandshape,i,1,Hand,BackAndForth
warm,4.4,OneHanded,imrp,7,Head,None
insult,4.4,OneHanded,i,1,Neutral,Curved
hat,4.407,OneHanded,imrp,1,Head,BackAndForth
uncle,4.407,OneHanded,im,1,Head,Circular
fight,4.417,SymmetricalOrAlternating,imrp,7,Neutral,Straight
candy_1,4.419,OneHanded,i,1,Head,None
few,4.429,OneHanded,imrp,3,Neutral,None
hamburger,4.429,SymmetricalOrAlternating,i,5,Neutral,Curved
scan,4.433,AsymmetricalDifferentHandshape,i,2,Neutral,BackAndForth
weather,4.433,SymmetricalOrAlternating,p,6,Neutral,BackAndForth
film,4.44,AsymmetricalDifferentHandshape,imrp,1,Hand,None
live_1,4.44,SymmetricalOrAlternating,i,1,Body,Curved
cry,4.44,SymmetricalOrAlternating,i,1,Head,BackAndForth
actor,4.44,SymmetricalOrAlternating,thumb,5,Body,Circular
bedroom,4.444,SymmetricalOrAlternating,imrp,1,Head,None
lemon,4.452,OneHanded,i,1,Head,None
president,4.462,SymmetricalOrAlternating,imrp,5,Head,Straight
order_2,4.467,OneHanded,i,1,Head,Other
accomplish,4.467,SymmetricalOrAlternating,i,1,Head,Straight
pink,4.467,OneHanded,im,Stacked,Head,BackAndForth
wear,4.478,SymmetricalOrAlternating,imrp,1,Body,Curved
government,4.48,OneHanded,i,1,Head,Other
hospital,4.48,OneHanded,im,1,Arm,Other
