EntryID,SignFrequency(M),SelectedFingers,Flexion,Movement
agreement,5.033,i,1,None
fast,5.034,i,1,Straight
old,5.038,imrp,6,Straight
select,5.038,i,5,Straight
basketball,5.04,imrp,5,None
thursday,5.042,thumb,Crossed,None
butter,5.065,im,3,BackAndForth
shop_1,5.067,imrp,4,BackAndForth
late,5.067,imrp,1,None
red,5.069,i,1,None
for,5.08,i,1,Curved
look_at,5.08,im,4,Straight
star,5.083,i,1,BackAndForth
cat,5.097,i,6,BackAndForth
soap,5.097,imrp,1,BackAndForth
idea,5.111,p,1,Straight
since,5.115,i,3,Curved
socks,5.12,i,1,BackAndForth
5_dollars,5.12,imrp,1,None
bake_2,5.12,imrp,1,Straight
serious,5.125,i,1,None
stress,5.125,imrp,1,BackAndForth
tree,5.143,imrp,1,None
break,5.148,imrp,7,Curved
battery,5.148,i,2,BackAndForth
myself,5.154,thumb,3,BackAndForth
wife,5.154,imrp,5,Straight
bird,5.161,i,3,None
business,5.185,imrp,1,BackAndForth
bicycle,5.185,imrp,7,Circular
birthday,5.185,m,3,Curved
disagreement,5.2,i,1,None
cute_1,5.2,im,1,None
run,5.2,i,2,Straight
caption,5.2,i,6,BackAndForth
happen,5.208,i,1,Circular
and,5.208,imrp,3,Straight
smart,5.222,m,3,Straight
finally,5.222,i,1,Circular
sign_language,5.222,i,1,Circular
boss,5.24,imrp,5,BackAndForth
sad,5.24,imrp,1,Straight
ask,5.24,i,1,Curved
bread,5.259,imrp,2,BackAndForth
laugh,5.267,i,1,None
toothbrush,5.269,i,4,BackAndForth
find,5.28,i,6,Straight
onion,5.28,i,2,None
two,5.286,im,1,None
street,5.29,imrp,1,Straight
email,5.292,i,1,BackAndForth
let_know,5.296,imrp,6,Straight
calendar,5.296,imrp,1,Other
fruit,5.3,i,6,None
thirsty,5.3,i,3,Curved
all,5.3,imrp,1,Circular
quiet,5.3,imrp,1,Curved
create,5.308,imrp,7,None
math,5.32,imrp,3,BackAndForth
starbucks,5.32,mr,6,BackAndForth
world,5.32,imr,1,Circular
sick,5.32,m,3,None
much,5.32,imrp,5,Curved
careful,5.32,im,Stacked,BackAndForth
fingerspell,5.32,imrp,3,Straight
office,5.333,imrp,6,Other
later,5.333,imrp,1,Straight
wine,5.333,p,6,Circular
four,5.333,imrp,1,None
talk,5.333,imrp,1,BackAndForth
arrive,5.333,imrp,1,Circular
show,5.333,i,1,Straight
university,5.333,im,1,Curved
hour,5.333,i,1,Circular
use,5.346,im,1,Circular
warn,5.36,imrp,1,BackAndForth
wonder,5.36,i,1,Circular
building,5.36,im,1,BackAndForth
believe,5.37,i,1,None
football,5.37,imrp,1,BackAndForth
movie,5.37,imrp,1,None
