EntryID,SignFrequency(M),SignType,SelectedFingers,Flexion,MajorLocation,Movement
box,4.833,SymmetricalOrAlternating,imrp,1,Neutral,Other
things,4.84,OneHanded,imrp,1,Neutral,BackAndForth
person,4.84,SymmetricalOrAlternating,im,Stacked,Neutral,Straight
body,4.84,SymmetricalOrAlternating,imrp,1,Body,Straight
remote_control,4.84,OneHanded,thumb,1,Neutral,None
science,4.852,SymmetricalOrAlternating,thumb,1,Neutral,Circular
right_2,4.862,OneHanded,im,Crossed,Neutral,Straight
wish,4.867,OneHanded,imrp,5,Body,Straight
last,4.875,AsymmetricalSameHandshape,p,1,Hand,Straight
son,4.88,OneHanded,imrp,1,Head,None
mirror,4.88,OneHanded,imrp,1,Head,None
grass,4.88,OneHanded,imrp,2,Head,BackAndForth
relax,4.885,SymmetricalOrAlternating,imrp,1,Body,BackAndForth
patient_3,4.889,OneHanded,thumb,1,Head,Straight
address,4.889,SymmetricalOrAlternating,thumb,1,Body,Curved
guess_1,4.897,OneHanded,imrp,5,Head,Curved
future,4.9,OneHanded,imrp,1,Neutral,Curved
exercise,4.9,SymmetricalOrAlternating,imrp,7,Body,BackAndForth
lie,4.917,OneHanded,imrp,1,Head,Straight
purple,4.92,OneHanded,im,Stacked,Neutral,None
vacation,4.92,SymmetricalOrAlternating,thumb,3,Body,BackAndForth
interest,4.92,SymmetricalOrAlternating,m,3,Body,Straight
flower,4.92,OneHanded,imrp,4,Head,Curved
bath,4.92,SymmetricalOrAlternating,thumb,1,Body,BackAndForth
puzzled,4.92,OneHanded,i,1,Head,None
